"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"1654","medak",32.9574630005539,1,78.266667,18.033333,78.3343051,18.3239953,"kamareddy"
"1655","meerut",0.876035083840558,1,77.7,28.99,77.7064137,28.9844618,"merrut"
"1656","meerut",0.876035083840558,1,77.7,28.99,77.7064137,28.9844618,"meerut"
"1657","meghraj",94.3439699927395,1,73.5,23.5,73.6609791,24.3388576,"guman"
"1658","mehkar",10.9024472499328,1,76.566667,20.15,76.631885,20.2268569,"mola"
"1659","mehnagar",36.4537229524723,1,83.116667,25.883333,83.33,26.15,"jiyanpur"
"1660","mehndawal",35.2318914016588,1,83.111667,26.975278,83.3731675,26.7605545,"gorakphur"
"1661","melukote",74.6771426492717,1,76.650556,12.658889,77.164167,13.108056,"kudur"
"1662","memari",26.3662592224416,1,88.116667,23.2,87.8614793,23.2324214,"burdwan"
"1663","memari",26.3662592224416,1,88.116667,23.2,87.8614793,23.2324214,"bardhaman"
"1664","merta",45.3002106995086,1,74.033333,26.65,74.2179326,27.0238036,"rajasthan"
"1665","metpalli",11.5336219578145,1,78.62,18.83,78.5107083,18.8352452,"kamarapally"
"1666","mettur",46.6970410082642,1,77.8,11.8,78.2162833,11.9003197,"akhrur"
"1667","mhasla",34.5637461453515,1,73.116667,18.133333,73.3266559,17.8942612,"bhatghar"
"1668","midnapur",20.2799622817352,1,87.15,22.33,87.319,22.424,"midnapore"
"1669","midnapur",20.2799622817352,1,87.15,22.33,87.319,22.424,"medinipur"
"1670","mihona",28.1733285310053,1,78.981667,26.284444,79.1040432,26.5136064,"hanumantpur"
"1671","milak",30.3307667858652,1,79.183333,28.616667,79.1096901,28.8825255,"rampurdistrict"
"1672","miranpur",19.6503470319713,1,77.933333,29.3,77.7845424,29.4201662,"bikki"
"1673","mirganj",34.7309641693045,1,79.2,28.55,79.3469077,28.2648038,"rafiabad"
"1674","mirik",9.44059172921058,1,88.18484,26.894527,88.2788511,26.8821382,"kurseong"
"1675","miryalaguda",48.2220153376887,1,79.57,16.87,79.9360593,16.6141335,"bodhanam"
"1676","mirzapur",2.9476368894711,1,82.56,25.16,82.5644344,25.1336987,"mirjapur"
"1677","misrikh",18.8878745317412,1,80.516667,27.45,80.3714326,27.5608279,"matan"
"1678","modasa",87.6868122407147,1,73.3,23.47,72.610398,23.0001194,"karachi"
"1679","moga",0.42515186902287,1,75.17,30.82,75.1717093,30.8164603,"mogha"
"1680","mohanur",53.7752296411058,1,78.166667,11.083333,78.6568942,11.1271225,"tamilnadu"
"1681","mohgaon",16.1028508794965,1,78.716667,21.65,78.8579764,21.7108722,"madhyapradeshstate"
"1682","mohgaon",16.1028508794965,1,78.716667,21.65,78.8579764,21.7108722,"maghyapradeshstate"
"1683","mohiuddinagar",16.356187994404,1,85.666667,25.583333,85.5451255,25.6816109,"hargobindpur"
"1684","moirang",8.74234680486117,1,93.766667,24.5,93.797778,24.426389,"kumbi"
"1685","mokama",40.3386810402897,1,85.92,25.4,86.026389,25.751111,"rosera"
"1686","mokokchung",19.594248396336,1,94.533333,26.333333,94.5624426,26.1584354,"nagaland"
"1687","mokokchung",19.594248396336,1,94.533333,26.333333,94.5624426,26.1584354,"nagalands"
"1688","mon",36.9113468220875,1,95.1,26.75,95.033851,27.0778079,"bhojo"
"1689","monoharpur",14.1529730761739,1,88.078889,22.108333,87.983333,22.016667,"nandigram"
"1690","moradabad",29.4286510835559,1,78.76,28.84,78.4673426,28.9043537,"amroh"
"1691","moram",27.3064680352265,1,76.466667,17.8,76.3579401,17.5763706,"hiroli"
"1692","morena",42.3778244362119,1,77.99,26.51,77.7509303,26.1939132,"bagebar"
"1693","mormugao",7.83483555714382,1,73.78,15.42,73.8440398,15.3860329,"vasco"
"1694","morvi",72.4825307039159,1,70.83,22.82,71.1923805,22.258652,"gujarat"
"1695","morwa",98.1040751343776,1,73.833333,22.9,73.1880618,22.2475172,"makarpur"
"1696","moth",60.2502155992307,1,78.95,25.716667,79.4506989,26.0176081,"madora"
"1697","motihari",7.68035687308541,1,84.91,26.66,84.8567932,26.6098139,"eastchamparan"
"1698","mountabu",12.6819185412576,1,72.7,24.6,72.7977232,24.5284406,"panduri"
"1699","mubarakpur",8.31839373557115,1,83.28,26.09,83.33,26.15,"jiyanpur"
"1700","mudbidri",27.9644843080296,1,74.983333,13.083333,74.8887224,12.8482049,"bajala"
"1701","muddebihal",39.892453994793,1,76.133333,16.333333,75.8998674,16.6147627,"bijapurdistrict"
"1702","mudgal",45.4126045973563,1,76.433333,16.016667,76.8201976,16.1855905,"hira"
"1703","mudhol",50.8712265462993,1,75.283333,16.35,75.2322867,16.8070444,"kohali"
"1704","mudigere",53.9972583823392,1,75.633333,13.133333,75.1983113,13.37129,"sunkadamakki"
"1705","mudkhed",75.1368359163711,1,77.516667,19.166667,78.1988335,18.9665688,"siripur"
"1706","muhammadabad",43.6455289945297,1,79.45,27.316667,79.02,27.23,"mainaopuri"
