"","pop","country.etc","name","lat","long","capital","Region","largestC"
"57655",1155094,"nigeria","maiduguri",11.85,13.16,"0",NA,0
"57654",1147357,"japan","hiroshima",34.39,132.44,"0",NA,0
"57653",1147188,"nigeria","benin",6.34,5.62,"0",NA,0
"57652",1139609,"china","wuxi",31.58,120.3,"0",NA,0
"57651",1134232,"mexico","leon",21.12,-101.69,"0",NA,0
"57650",1127864,"russianfederation","omsk",55,73.4,"0",NA,0
"57649",1127228,"russianfederation","samara",53.2,50.15,"0",NA,0
"57648",1123777,"mexico","monterrey",25.67,-100.32,"0",NA,0
"57647",1123365,"india","amritsar",31.64,74.87,"0",NA,0
"57646",1119775,"burkinafaso","ouagadougou",12.37,-1.53,"1",NA,1
"57645",1118725,"azerbaijan","baku",40.39,49.86,"1",NA,1
"57644",1113589,"serbia","belgrade",44.83,20.5,"1",NA,1
"57643",1104802,"russianfederation","kazan",55.75,49.13,"0",NA,0
"57642",1103794,"china","taichung",24.15,120.68,"0",NA,0
"57641",1102364,"turkey","gaziantep",37.07,37.39,"0",NA,0
"57640",1094199,"india","allahabad",25.45,81.84,"0",NA,0
"57639",1091978,"denmark","copenhagen",55.68,12.57,"1",NA,1
"57638",1090537,"armenia","yerevan",40.17,44.52,"1",NA,1
"57637",1088954,"japan","saitama",35.87,139.64,"0",NA,0
"57636",1087237,"india","visakhapatnam",17.73,83.3,"0",NA,0
"57635",1076969,"australia","adelaide",-34.93,138.6,"0",NA,0
"57634",1076897,"russianfederation","rostov-na-donu",47.24,39.71,"0",NA,0
"57633",1075754,"china","huainan",32.63,116.98,"0",NA,0
"57632",1072093,"china","shenzhen",22.53,114.13,"0",NA,0
"57631",1058281,"russianfederation","chelyabinsk",55.15,61.43,"0",NA,0
"57630",1055317,"china","xianyang",34.37,108.7,"0",NA,0
"57629",1052440,"korearep","songnam",37.44,127.15,"0",NA,0
"57628",1049768,"india","jabalpur",23.17,79.94,"0",NA,0
"57627",1047239,"brazil","campinas",-22.91,-47.08,"0",NA,0
"57626",1046578,"iranislamicrep","qom",34.65,50.95,"0",NA,0
"57625",1044356,"china","kunming",25.05,102.7,"3",NA,0
"57624",1038343,"georgia","tbilisi",41.72,44.79,"1",NA,1
"57623",1031925,"belgium","brussels",50.83,4.33,"1",NA,1
"57622",1031223,"india","haora",22.58,88.33,"0",NA,0
"57621",1030655,"india","sholapur",17.67,75.89,"0",NA,0
"57620",1030431,"ireland","dublin",53.33,-6.25,"1",NA,1
"57619",1030423,"russianfederation","ufa",54.78,56.04,"0",NA,0
"57618",1027984,"china","baoding",38.87,115.48,"0",NA,0
"57617",1025044,"ukraine","dnipropetrovs'k",48.45,34.98,"0",NA,0
"57616",1019753,"brazil","novaiguacu",-22.74,-43.47,"0",NA,0
"57615",1011025,"china","benxi",41.33,123.75,"0",NA,0
"57614",1010253,"guatemala","guatemala",14.63,-90.55,"1",NA,1
"57613",1010221,"russianfederation","volgograd",48.71,44.48,"0",NA,0
"57612",1005975,"egyptarabrep","shubra-el-khema",30.11,31.25,"0",NA,0
"57611",1003742,"mexico","zapopan",20.72,-103.4,"0",NA,0
"57610",998032,"nigeria","zaria",11.08,7.71,"0",NA,0
"57609",996400,"india","srinagar",34.09,74.79,"0",NA,0
"57608",995028,"ukraine","odesa",46.47,30.73,"0",NA,0
"57607",994767,"japan","kitakyushu",33.88,130.86,"0",NA,0
"57606",992669,"southafrica","portelizabeth",-33.96,25.59,"0",NA,0
"57605",991432,"canada","calgary",51.05,-114.06,"0",NA,0
"57604",990417,"nicaragua","managua",12.15,-86.27,"1",NA,1
"57603",989318,"brazil","maceio",-9.65,-35.75,"0",NA,0
"57602",986969,"unitedkingdom","birmingham",52.48,-1.91,"0",NA,0
"57601",983614,"italy","naples",40.85,14.27,"0",NA,0
"57600",983226,"morocco","fez",34.05,-5,"0",NA,0
"57599",983199,"korearep","ulsan",35.55,129.31,"0",NA,0
"57598",980419,"ukraine","donetsk",48,37.82,"0",NA,0
"57597",979458,"india","navimumbai",19.11,73.06,"0",NA,0
"57596",976761,"colombia","cartagena",10.4,-75.5,"0",NA,0
"57595",976116,"russianfederation","perm",58,56.25,"0",NA,0
"57594",975218,"saudiarabia","al-madinah",24.48,39.59,"0",NA,0
"57593",973208,"guatemala","guatemalacity",14.621111,-90.526944,"1","7",0
"57592",970602,"india","ranchi",23.36,85.33,"0",NA,0
"57591",968524,"india","koyampattur",11.01,76.96,"0",NA,0
"57590",963755,"china","changzhou",31.78,119.97,"0",NA,0
"57589",962936,"iraq","irbil",36.19,44.02,"0",NA,0
"57588",960974,"germany","cologne",50.95,6.97,"0",NA,0
"57587",954458,"liberia","monrovia",6.31,-10.8,"1",NA,1
"57586",954266,"malaysia","subangjaya",3.15,101.53,"0",NA,0
"57585",949783,"brazil","saogoncalo",-22.84,-43.07,"0",NA,0
"57584",942769,"india","chandigarh",30.75,76.78,"0",NA,0
"57583",940665,"congodemrep","kolwezi",-10.7,25.66,"0",NA,0
"57582",940513,"india","jodhpur",26.29,73.02,"0",NA,0
"57581",936664,"malaysia","klang",3.04,101.45,"0",NA,0
"57580",935083,"brazil","saoluis",-2.5,-44.3,"0",NA,0
"57579",932871,"bolivia","cochabamba",-17.38,-66.17,"0",NA,0
"57578",932185,"china","huaibei",33.95,116.75,"0",NA,0
"57577",931872,"nigeria","aba",5.1,7.35,"0",NA,0
"57576",926276,"japan","chiba",35.61,140.11,"0",NA,0
"57575",923348,"india","guwahati",26.19,91.75,"0",NA,0
"57574",915625,"kyrgyzrepublic","biskek",42.87,74.57,"1",NA,1
"57573",906949,"russianfederation","krasnoyarsk",56.02,93.06,"0",NA,0
"57572",905649,"india","madurai",9.92,78.12,"0",NA,0
"57571",903797,"turkey","konya",37.88,32.48,"0",NA,0
"57570",902986,"india","maisuru",12.31,76.65,"0",NA,0
"57569",902797,"nigeria","ogbomosho",8.08,4.18,"0",NA,0
"57568",897883,"unitedstates","sanjose",37.3,-121.85,"0",NA,0
"57567",896435,"congodemrep","mbuji-mayi",-6.13,23.59,"0",NA,0
"57566",895900,"india","gwalior",26.23,78.17,"0",NA,0
"57565",894833,"china","qiqihar",47.35,124,"0",NA,0
"57564",893814,"china","pingdingshan",33.73,113.3,"0",NA,0
"57563",886519,"india","vijayawada",16.52,80.63,"0",NA,0
"57562",885542,"canada","ottawa",45.42,-75.71,"1",NA,0
"57561",883827,"argentina","mendoza",-32.89,-68.83,"0",NA,0
"57560",873290,"china","wenzhou",28.02,120.65,"0",NA,0
"57559",873123,"italy","turin",45.08,7.68,"0",NA,0
"57558",872403,"honduras","tegucigalpa",14.09,-87.22,"1",NA,1
"57557",872211,"bolivia","elalto",-16.5,-68.17,"0",NA,0
"57556",871789,"unitedstates","detroit",42.38,-83.1,"0",NA,0
"57555",869534,"indonesia","padang",-0.95,100.35,"0",NA,0
"57554",862842,"mongolia","ulaanbaatar",47.93,106.91,"1",NA,1
"57553",860796,"russianfederation","saratov",51.57,46.03,"0",NA,0
"57552",859704,"peru","arequipa",-16.39,-71.53,"0",NA,0
"57551",855592,"morocco","marrakesh",31.63,-8,"0",NA,0
"57550",853730,"india","hubli",15.36,75.13,"0",NA,0
"57549",847600,"mexico","naucalpan",19.48,-99.23,"0",NA,0
"57548",841145,"iranislamicrep","ahvaz",31.28,48.72,"0",NA,0
"57547",840243,"korearep","puchon",37.48,126.77,"0",NA,0
"57546",839334,"nigeria","jos",9.93,8.89,"0",NA,0
"57545",838947,"malaysia","johorbahru",1.48,103.75,"0",NA,0
"57544",837946,"russianfederation","voronezh",51.72,39.26,"0",NA,0
"57543",831979,"canada","edmonton",53.57,-113.54,"0",NA,0
"57542",831676,"nigeria","ilorin",8.5,4.53,"0",NA,0
"57541",830000,"ukraine","lvov",49.840661,24.030451,NA,"15",0
"57540",829012,"brazil","duquedecaxias",-22.77,-43.31,"0",NA,0
"57539",828507,"indonesia","bandarlampung",-5.44,105.27,"0",NA,0
"57538",823500,"kenya","mombasa",-4.04,39.66,"0",NA,0
"57537",823013,"turkmenistan","asgabat",37.95,58.38,"1",NA,1
"57536",822930,"nepal","kathmandu",27.71,85.31,"1",NA,1
"57535",821445,"norway","oslo",59.91,10.75,"1",NA,1
"57534",821253,"venezuelarb","barquisimeto",10.05,-69.3,"0",NA,0
"57533",818709,"sierraleone","freetown",8.49,-13.24,"1",NA,1
"57532",817032,"bolivia","lapaz",-16.5,-68.15,"0",NA,0
"57531",814296,"philippines","cebu",10.32,123.9,"0",NA,0
"57530",807409,"india","jalandhar",31.33,75.57,"0",NA,0
"57529",805718,"china","nanning",22.82,108.32,"3",NA,0
"57528",803438,"spain","valencia",39.48,-0.39,"0",NA,0
"57527",801297,"niger","niamey",13.52,2.12,"1",NA,1
"57526",801137,"india","selam",11.67,78.16,"0",NA,0
"57525",800003,"rwanda","kigali",-1.94,30.06,"1",NA,1
"57524",798781,"syrianarabrepublic","hims",34.73,36.72,"0",NA,0
"57523",797759,"southafrica","pietermaritzburg",-29.61,30.39,"0",NA,0
"57522",794431,"pakistan","islamabad",33.72,73.06,"1",NA,0
"57521",794039,"india","bhubaneswar",20.27,85.84,"0",NA,0
"57520",793841,"india","thiruvananthapuram",8.51,76.95,"0",NA,0
"57519",793553,"saudiarabia","ad-dammam",26.43,50.1,"0",NA,0
"57518",793352,"france","marseille",43.31,5.37,"0",NA,0
"57517",792373,"turkey","antalya",36.89,30.71,"0",NA,0
"57516",792365,"argentina","tucuman",-26.83,-65.22,"0",NA,0
"57515",792081,"china","anyang",36.08,114.35,"0",NA,0
"57514",791626,"ukraine","zaporizhzhya",47.85,35.17,"0",NA,0
"57513",787375,"china","taian",36.2,117.12,"0",NA,0
"57512",785354,"indonesia","bogor",-6.58,106.79,"0",NA,0
"57511",783645,"china","hohhot",40.82,111.64,"3",NA,0
