"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"326","rojhan",31.7840292301006,1,69.95,28.69,69.9386562,28.4033888,"rahimabad"
"327","rustam",16.9113999052716,1,68.8,27.97,68.6299503,27.9478765,"shahibagh"
"328","sadiqabad",21.3158055676282,1,70.13,28.3,70.2988744,28.4211565,"rahminyarkhan"
"329","saeedabad",18.3353009145593,1,68.37,25.97,68.5317949,26.0475573,"tandomasti"
"330","sahiwal",34.8033002157172,1,72.33,31.98,72.271908,32.2899398,"joharabad"
"331","sakrand",16.5386121385245,1,68.26,26.13,68.39222,26.2197229,"shaheedbenazirabad"
"332","samaro",18.2470287742386,1,69.4,25.28,69.5802999,25.2640251,"murtazagoth"
"333","samasatta",16.7086950161651,1,71.54,29.34,71.6391527,29.4632276,"gharibabad"
"334","sambrial",21.4632775853458,1,74.34,32.48,74.1169906,32.4386254,"wazirdand"
"335","sammundri",17.2034103534646,1,72.8,31.11,72.6387584,31.0406065,"anahht"
"336","sangalahill",34.1228002799701,1,73.37,31.72,73.5912965,31.9629282,"ghuriwala"
"337","sangalahill",34.1228002799701,1,73.37,31.72,73.5912965,31.9629282,"ghoriwala"
"338","sanghar",1.70824926951718,1,68.93,26.05,68.9470666,26.050292,"shehnshah"
"339","sanjwal",6.04408179421066,1,72.43,33.77,72.4860955,33.7978438,"ladha"
"340","sann",5.33968318906139,1,68.13,26.03,68.116667,25.9833329,"badar"
"341","saraialamgir",18.2240155614118,1,73.75,32.9,73.5751887,32.8276343,"barlas"
"342","sarainaurang",1.18715665703241,1,70.77,32.82,70.7825947,32.8187789,"naurang"
"343","saraisidhu",19.9068009108676,1,71.97,30.6,71.769662,30.5531453,"sardarpur"
"344","sargodha",4.38602905673213,1,72.67,32.08,72.7102791,32.0602981,"mirzai"
"345","sarhari",7.7854811100403,1,68.48,26.1,68.5317949,26.0475573,"tandomasti"
"346","sehwan",29.0047630394079,1,67.85,26.43,68.1028983,26.3010283,"qaziahmad"
"347","sehwan",29.0047630394079,1,67.85,26.43,68.1028983,26.3010283,"qaziahmed"
"348","setharja",15.7985185989895,1,68.48,27.2,68.606599,27.1133723,"pahalwan"
"349","shahdadkot",31.0757049708412,1,67.9,27.85,68.0060183,27.5859189,"qambar"
"350","shahdadpur",13.3863670297591,1,68.61,25.92,68.546895,26.026518,"lundo"
"351","shahdipalli",13.4448833093562,1,69.23,25.52,69.25,25.4,"dehgan"
"352","shahkot",32.3191808723126,1,73.48,31.57,73.1701317,31.4496378,"awesha"
"353","shahpurchakar",15.0106799602382,1,68.63,26.15,68.5317949,26.0475573,"tandomasti"
"354","shahpurcity",3.81534551151926,1,72.47,32.28,72.4302529,32.2866118,"shahpur"
"355","shakargarh",8.49861427292921,1,75.15,32.26,75.0611147,32.2730414,"narowaldistrict"
"356","shehrsultan",44.4977795529722,1,71.02,29.57,71.3171162,29.8764183,"shujabad"
"357","shikarpur",1.66823190864629,1,68.64,27.96,68.6299503,27.9478765,"shahibagh"
"358","shinpokh",20.2707810174258,1,71.18,34.33,71.4,34.321111,"ghallanai"
"359","shinpokh",20.2707810174258,1,71.18,34.33,71.4,34.321111,"ghalanai"
"360","shorkot",8.49297707573951,1,70.86,31.9,70.8923587,31.8285587,"galibaghwali"
"361","shujaabad",2.64944770881183,1,71.29,29.88,71.3171162,29.8764183,"shujabad"
"362","sialkot",33.4140060659635,1,74.55,32.52,74.4181206,32.2402361,"manjipur"
"363","sibi",1.29194157542684,1,67.87,29.55,67.8759078,29.5395519,"sibbi"
"364","sillanwali",28.9841029638925,1,72.54,31.82,72.6555464,31.5779893,"musacolony"
"365","sinjhoro",14.8896582765065,1,68.8,26.03,68.9470666,26.050292,"shehnshah"
"366","sitaroad",34.4393949498787,1,67.85,27.03,68.1533539,26.8793134,"mamond"
"367","sobhodero",19.809510782499,1,68.4,27.3,68.3121568,27.1393972,"khanwahan"
"368","sodhra",6.87051895903887,1,74.18,32.47,74.1169906,32.4386254,"wazirdand"
"369","sohbatpur",13.7309302465097,1,68.55,28.52,68.6163809,28.6291593,"uchgasfield"
"370","sujawal",19.0800990175012,1,68.08,24.61,68.0583333,24.7811111,"surjani"
"371","sukheke",13.443892714944,1,73.5,31.87,73.5912965,31.9629282,"ghuriwala"
"372","sukheke",13.443892714944,1,73.5,31.87,73.5912965,31.9629282,"ghoriwala"
"373","sukkur",0.753092415835099,1,68.85,27.7,68.8481971,27.7066038,"sukkar"
"374","surab",18.3275555777687,1,66.26,28.49,66.3497787,28.6351353,"hajika"
"375","swabi",2.67105516088227,1,72.47,34.13,72.4709341,34.1059326,"kaala"
"376","takhatbhai",0.924938385780471,1,71.93,34.28,71.9342061,34.2875721,"takhtbhai"
"377","talagang",21.0981859782658,1,72.41,32.92,72.1845,32.9158582,"darot"
"378","talhar",53.5834838527332,1,68.81,24.89,68.4869861,25.2739885,"nooriabad"
"379","tall",31.2806969389435,1,72.23,35.49,72.0029435,35.2780684,"sheringal"
"380","tandlianwala",42.0484207184108,1,73.13,31.04,73.1085756,30.6611813,"shahwal"
"381","tandoadam",18.2160073144151,1,68.66,25.76,68.5023571,25.6784877,"khyber"
"382","tandoadam",18.2160073144151,1,68.66,25.76,68.5023571,25.6784877,"khyberdistrict"
"383","tandoallahyar",29.5733100777252,1,68.72,25.46,68.957685,25.6173657,"khardistrict"
