"","lon","lat","CityGTD","fake"
"576",70.5136496,33.8679869,"tirah",1
"577",-79.016667,9.116667,"altobayano",1
"579",-75.5075,-9.036944,"aguaytia",1
"580",-74.128227,-13.6289,"cangallo",1
"581",-76.136711,-13.42553,"chincha",1
"582",-76.5784427,-11.9095906,"corcona",1
"584",-77.396389,-10.403611,"ocros",1
"585",-74.139107,-13.05526,"quinua",1
"586",-74.343857,-13.24994,"vinchos",1
"587",120.7982528,17.5951122,"abra",1
"588",122.0232408,6.6929389,"basilan",1
"589",122.0232408,6.6929389,"basilanisland",1
"590",121.0359174,14.5794443,"mandaluyong",1
"591",124.25,7.466667,"matanog",1
"592",123.85,8.15,"ozamis",1
"593",126.1562026,7.2552217,"pantukan",1
"594",42.2189781,3.3304072,"garbahaareey",1
"595",28.699391,-26.1044823,"botleng",1
"596",28.425,-26.138611,"daveyton",1
"597",29.8779044,-29.931563,"donnybrook",1
"598",27.4,-32.883333,"kingwilliamstown",1
"599",28.4002447,-26.2863716,"kwathema",1
"600",30.8958242,-28.5305539,"kwazulunatal",1
"601",26.816667,-26.316667,"ventersdorf",1
"602",-2.3109203,43.1776439,"azcoitia",1
"603",-2.3315143,43.0523571,"legazpia",1
"604",2.0088747,41.563211,"tarrasa",1
"605",-2.9026256,43.4129291,"urizardelemoniz",1
"606",80.5596582,6.3424847,"deniyaya",1
"607",81.0069928,8.3512634,"kantalai",1
"608",79.810063,9.0828304,"pesalai",1
"609",81.1967958,8.5922,"tricomalee",1
"610",25.35,13.630556,"alfashir",1
"611",101.5020752,6.1757842,"sisakhon",1
"612",101.7297338,6.2977641,"tanyongmas",1
"613",-5.916196,54.5745658,"ballynafeigh",1
"614",-7.871449,54.2964532,"belcoo",1
"615",-6.58726,54.13077,"cullyhanna",1
"616",-6.52781,54.10192,"silverbridge",1
"617",-6.67652,54.57644,"stewartstown",1
"618",-117.37309,35.7627371,"trona",1
"620",35.115625,31.529326,"kiryatarba",1
"624",30.832778,-20.074444,"fortvictoria",1
"625",68.5427778,34.1116667,"alishang",1
"626",66.9511459,36.801729,"chaharbolak",1
"627",71.4061876,35.0021932,"dangam",1
"628",66.8833329,35.883333,"dehak",1
"629",65.5707852,32.640755,"dihrawud",1
"630",64.212898,31.132511,"garmsir",1
"631",66.2129178,33.4290146,"gizab",1
"632",62.1688572,34.0467714,"guzara",1
"634",66.2917573,33.8183376,"nawa",1
"635",62.0282394,32.4809178,"pushtrod",1
"636",63.3402432,34.8785113,"qades",1
"637",66.0463534,35.6707473,"saripul",1
"638",68.7631916,33.1256576,"sharana",1
"639",68.7617012,34.0827715,"sheikhabad",1
"640",69.4914762,34.5745208,"shinwari",1
"641",69.828056,33.242222,"tani",1
"642",64.4318916,33.410592,"taywara",1
"644",71.1273981,34.9109308,"watapur",1
"645",65.35,31.45,"zangabad",1
"646",3.590556,36.634722,"ammal",1
"647",3.1180085,36.7261506,"bachdjerah",1
"648",4.1794668,35.2102695,"bousaada",1
"649",6.560278,37.005556,"collo",1
"650",6.166667,36.8,"elancer",1
"651",3.4220755,36.6494344,"keddara",1
"652",4.0962,36.8451,"mizrana",1
"653",-58.5286102,-34.470829,"lima",1
"655",92.1990763,23.1705732,"baghaichhari",1
"656",19.0483,44.5056,"jusici",1
"657",29.366667,-3.383333,"butumbura",1
"658",75.989755,39.4704,"kashgar",1
"660",-76.52999,3.68471,"montanitas",1
"661",-75.5276699,0.4359506,"putumayo",1
"662",-74.75,7.25,"segouia",1
"663",-73.0855357,8.0492802,"tarra",1
"664",30.25,1.566667,"bunia",1
"666",-88.65,13.816667,"eljicaro",1
"667",-88.1126634,13.9020711,"elmozote",1
"668",-38.5014136,-12.9722184,"elpartido",1
"669",-88.7698403,13.4409658,"elplayon",1
"670",-88.9533563,13.3536924,"laherradura",1
"671",-89.1503566,14.1959529,"lareina",1
"672",-88.3470047,13.8146463,"limadelareina",1
"673",-89.365369,13.7223145,"lourdes",1
"674",-88.0289716,13.3886373,"sanantonio",1
"675",-89.213241,13.7154736,"sanantonioabad",1
"676",-88.8946713,14.0061818,"sanantoniolosranchos",1
"677",-88.0912974,13.6015099,"sanpedro",1
"679",-89.6886722,13.9635122,"zacamil",1
"680",9.055084,41.491867,"pianottolicaldarello",1
"681",9.492342,42.397834,"poggiomezzanna",1
"682",8.741819,41.795233,"portigliolo",1
"683",-90.4466991,15.9886228,"rubelsanto",1
"684",73.2155556,30.1630556,"ferozepore",1
"685",-66.2367172,-22.6633212,"j&k",1
"686",74.8570259,32.7266016,"plantan",1
"687",74.7973681,34.0836581,"sringar",1
"688",-116.2155619,33.7205771,"u",1
"689",90.5920027,25.5313902,"williamnagar",1
"690",96.7493993,4.695135,"aceh",1
"691",43.8649341,33.1644862,"amiriyatalfallujah",1
"692",44.3236557,35.0844989,"daquq",1
