"","eventid","iyear","country_txt","region_txt","pop.that.year","Rel.CS","inUC","aroundUC","Rank01.C","Rank01.W","capital","largestC","largest.UC","WC.UC.dist.km","TUPscale","PROPscale","HUMscale","Extra.WAR.In","Extra.WAR.Out","Intra.WAR","Inter.WAR","coast.dist","coast.dist.MIN","coast.dist.MAX","access","access.MAX","light","light.MAX","nldi","nldi.MAX","urbn.cover","city.gdp","gdp.MAX","density","density.MAX","density.growth","density.growth.MAX","EN.URB.MCTY.TL.ZS","SP.URB.TOTL.IN.ZS","EN.URB.LCTY.UR.ZS","latitude","longitude","WCUC.city.old","DV.Target.Urban","DV.Target.Crowded","DV.Target.Connected","DV.Target.Coastal"
"68363",201102160009,2011,"turkey","Middle East & North Africa",578418,0.044078847611554,0,0,0.992544268406337,0.991952521799255,0,0,0,65.1210607981845,7,1000,1,0,0,0,0,4,0,517,27,504,56,63,0.61703643728495,0.981698041653633,0,22,104,128.64,2540.48,0.2,0.41025641025641,36.7672307277341,71.282,25.1976653788847,36.81,34.63,"mersin",0.481378001226695,0.239485655084235,0.748321123321123,0.992263056092843
"68297",200712050001,2007,"turkey","Middle East & North Africa",11339935,1,1,1,1,0.999856171673491,0,1,1,10.6970555938571,2,1,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1889.6,2307.8,0.285079365079365,0.41025641025641,33.8381639378079,68.975,23.6567913947198,41.1,29,"istanbul",0.822063492063492,0.748288669433686,0.98015873015873,0.982591876208897
"68295",200606190002,2006,"turkey","Middle East & North Africa",10918784,1,1,1,1,0.99984663605778,0,1,1,10.6970555938571,9,1,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1844.8,2252.4,0.285079365079365,0.41025641025641,33.1263943170972,68.382,23.2670677941058,41.1,29,"istanbul",0.822063492063492,0.748438078195605,0.98015873015873,0.982591876208897
"68296",200601220002,2006,"turkey","Middle East & North Africa",10918784,1,1,1,1,0.99984663605778,0,1,1,10.6970555938571,7,1000,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1844.8,2252.4,0.285079365079365,0.41025641025641,33.1263943170972,68.382,23.2670677941058,41.1,29,"istanbul",0.822063492063492,0.748438078195605,0.98015873015873,0.982591876208897
"68294",200508140011,2005,"turkey","Middle East & North Africa",10513274,1,1,1,1,0.999837092971999,0,1,1,10.6970555938571,7,1000,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1800,2197,0.285079365079365,0.41025641025641,32.4423617642736,67.783,22.8956215317593,41.1,29,"istanbul",0.822063492063492,0.748595022001138,0.98015873015873,0.982591876208897
"68041",200507010005,2005,"turkey","Middle East & North Africa",1255642,0.119433931322049,1,1,0.996275605214153,0.994825306169385,1,0,0,1.08339132920756,9,1,1,0,0,0,0,176,0,517,6,504,63,63,0.536097831785677,0.981698041653633,41,87,104,163,2197,0.145695364238411,0.41025641025641,32.4423617642736,67.783,22.8956215317593,39.93,32.85,"ankara",0.631427384134051,0.20566422236461,0.953182234432234,0.659574468085106
"68362",200505260001,2005,"turkey","Middle East & North Africa",484216,0.0460575366914272,0,0,0.992551210428305,0.992554190543726,0,0,0,65.1210607981845,9,1,1,0,0,0,0,4,0,517,27,504,56,63,0.61703643728495,0.981698041653633,0,22,104,115,2197,0.2,0.41025641025641,32.4423617642736,67.783,22.8956215317593,36.81,34.63,"mersin",0.481874409002155,0.240510458284651,0.748321123321123,0.992263056092843
"68293",200406140002,2004,"turkey","Middle East & North Africa",10123352,1,1,1,1,0.999837139791539,0,1,1,10.6970555938571,0,1,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1755,2141.6,0.329394387001477,0.461538461538462,31.7873021925815,67.18,22.5429776957651,41.1,29,"istanbul",0.822063492063492,0.754346118575383,0.98015873015873,0.982591876208897
"68292",200403170003,2004,"turkey","Middle East & North Africa",10123352,1,1,1,1,0.999837139791539,0,1,1,10.6970555938571,9,1,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1755,2141.6,0.329394387001477,0.461538461538462,31.7873021925815,67.18,22.5429776957651,41.1,29,"istanbul",0.822063492063492,0.754346118575383,0.98015873015873,0.982591876208897
"68291",200304030001,2003,"turkey","Middle East & North Africa",9746876,1,1,1,1,0.999818052975313,0,1,1,10.6970555938571,9,1000,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1710,2086.2,0.329394387001477,0.461538461538462,31.1541227237326,66.569,22.205261331024,41.1,29,"istanbul",0.822063492063492,0.754460940035667,0.98015873015873,0.982591876208897
"68290",200111140003,2001,"turkey","Middle East & North Africa",9036346,1,1,1,1,0.999818206173336,0,1,1,10.6970555938571,9,1,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1620,1975.4,0.329394387001477,0.461538461538462,29.9597270196736,65.332,21.5777847684534,41.1,29,"istanbul",0.822063492063492,0.754709903930923,0.98015873015873,0.982591876208897
"68289",200111140002,2001,"turkey","Middle East & North Africa",9036346,1,1,1,1,0.999818206173336,0,1,1,10.6970555938571,9,1,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1620,1975.4,0.329394387001477,0.461538461538462,29.9597270196736,65.332,21.5777847684534,41.1,29,"istanbul",0.822063492063492,0.754709903930923,0.98015873015873,0.982591876208897
"68288",200108250024,2001,"turkey","Middle East & North Africa",9036346,1,1,1,1,0.999818206173336,0,1,1,10.6970555938571,0,1,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1620,1975.4,0.329394387001477,0.461538461538462,29.9597270196736,65.332,21.5777847684534,41.1,29,"istanbul",0.822063492063492,0.754709903930923,0.98015873015873,0.982591876208897
"68287",200101070003,2001,"turkey","Middle East & North Africa",9036346,1,1,1,1,0.999818206173336,0,1,1,10.6970555938571,9,1000,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1620,1975.4,0.329394387001477,0.461538461538462,29.9597270196736,65.332,21.5777847684534,41.1,29,"istanbul",0.822063492063492,0.754709903930923,0.98015873015873,0.982591876208897
"68285",200010060004,2000,"turkey","Middle East & North Africa",8743868,1,1,1,1,0.999818247909851,0,1,1,10.6970555938571,0,1,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1575,1920,0.329394387001477,0.461538461538462,29.4671679386755,64.741,21.3787590900218,41.1,29,"istanbul",0.822063492063492,0.754845161347143,0.98015873015873,0.982591876208897
"68286",200002100006,2000,"turkey","Middle East & North Africa",8743868,1,1,1,1,0.999818247909851,0,1,1,10.6970555938571,9,1,1,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1575,1920,0.329394387001477,0.461538461538462,29.4671679386755,64.741,21.3787590900218,41.1,29,"istanbul",0.822063492063492,0.754845161347143,0.98015873015873,0.982591876208897
"68284",199912190001,1999,"turkey","Middle East & North Africa",8553323,1,1,1,1,0.999808742385556,0,1,1,10.6970555938571,7,1000,1,0,0,1,1,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1530.8,1865.6,0.37434554973822,0.509433962264151,29.1494512246758,64.223,21.3967757004647,41.1,29,"istanbul",0.822063492063492,0.761323429890737,0.98015873015873,0.982591876208897
"68283",199911250009,1999,"turkey","Middle East & North Africa",8553323,1,1,1,1,0.999808742385556,0,1,1,10.6970555938571,7,1,1,0,0,1,1,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1530.8,1865.6,0.37434554973822,0.509433962264151,29.1494512246758,64.223,21.3967757004647,41.1,29,"istanbul",0.822063492063492,0.761323429890737,0.98015873015873,0.982591876208897
"68039",199910210001,1999,"turkey","Middle East & North Africa",914451,0.106911820183019,1,1,0.996289424860853,0.994902984575073,1,0,0,1.08339132920756,7,1000,1,0,0,1,1,176,0,517,6,504,63,63,0.536097831785677,0.981698041653633,41,87,104,148.2,1865.6,0.227642276422764,0.509433962264151,29.1494512246758,64.223,21.3967757004647,39.93,32.85,"ankara",0.628300311260968,0.236328196683757,0.953182234432234,0.659574468085106
"68053",199910180002,1999,"turkey","Middle East & North Africa",1752,0.000204783091173601,0,0,0.194805194805195,0.280852243929961,0,0,0,89.5221600013565,7,1000,1,0,0,1,1,78,0,517,214,504,7,63,0.631263137586564,0.981698041653633,0,3,104,175.2,1865.6,0.194630872483221,0.509433962264151,29.1494512246758,64.223,21.3967757004647,38.08167,28.05778,"bademli",0.0765302722518699,0.235265629972567,0.322687728937729,0.849129593810445
"68282",199910050001,1999,"turkey","Middle East & North Africa",8553323,1,1,1,1,0.999808742385556,0,1,1,10.6970555938571,7,1,1,0,0,1,1,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1530.8,1865.6,0.37434554973822,0.509433962264151,29.1494512246758,64.223,21.3967757004647,41.1,29,"istanbul",0.822063492063492,0.761323429890737,0.98015873015873,0.982591876208897
"68338",199906170007,1999,"turkey","Middle East & North Africa",554296,0.0648047421055417,1,1,0.998144712430427,0.995801895362959,0,0,0,1.50865878795956,9,1,1,0,0,1,1,160,0,517,5,504,62,63,0.631271265149119,0.981698041653633,40,24,104,53.8,1865.6,0.25,0.509433962264151,29.1494512246758,64.223,21.3967757004647,37.88,32.48,"konya",0.611769109665738,0.228828982583686,0.798763736263736,0.690522243713733
"68040",199903150007,1999,"turkey","Middle East & North Africa",914451,0.106911820183019,1,1,0.996289424860853,0.994902984575073,1,0,0,1.08339132920756,9,1000,1,0,0,1,1,176,0,517,6,504,63,63,0.536097831785677,0.981698041653633,41,87,104,148.2,1865.6,0.227642276422764,0.509433962264151,29.1494512246758,64.223,21.3967757004647,39.93,32.85,"ankara",0.628300311260968,0.236328196683757,0.953182234432234,0.659574468085106
"68037",199810300001,1998,"turkey","Middle East & North Africa",868025,0.10374154636888,1,1,0.996289424860853,0.99492385786802,1,0,0,1.08339132920756,9,1,1,0,0,1,0,176,0,517,6,504,63,63,0.536097831785677,0.981698041653633,41,87,104,145.4,1811.2,0.227642276422764,0.509433962264151,28.8461263683405,63.703,21.4240139556445,39.93,32.85,"ankara",0.627507742807433,0.236832207557209,0.953182234432234,0.659574468085106
"68281",199808290001,1998,"turkey","Middle East & North Africa",8367184,1,1,1,1,0.999808808205952,0,1,1,10.6970555938571,9,1000,1,0,0,1,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1486.6,1811.2,0.37434554973822,0.509433962264151,28.8461263683405,63.703,21.4240139556445,41.1,29,"istanbul",0.822063492063492,0.761468325914108,0.98015873015873,0.982591876208897
